index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.866651	 0.000000	-105.564664	 0.000000	105.564664	 3.141593
  1	  0	  1	  0	 0.000366	-0.000024	 0.044559	-0.002915	 0.044654	-0.065333
  2	  0	 -1	  0	 0.000366	 0.000024	 0.044559	 0.002915	 0.044654	 0.065333
  3	  1	  0	  0	 0.000514	 0.000000	 0.062578	 0.000000	 0.062578	 0.000000
  4	 -1	  0	  0	 0.000514	-0.000000	 0.062578	-0.000000	 0.062578	-0.000000
  5	  0	 -2	  0	 0.125817	-0.000000	15.325474	-0.000000	15.325474	-0.000000
  6	  1	 -1	  0	 0.047997	-0.004003	 5.846432	-0.487631	 5.866733	-0.083214
  7	 -1	 -1	  0	 0.048953	 0.007180	 5.962849	 0.874532	 6.026639	 0.145625
  8	  0	  2	  0	 0.125817	 0.000000	15.325474	 0.000000	15.325474	 0.000000
  9	  1	  1	  0	 0.048953	-0.007180	 5.962849	-0.874532	 6.026639	-0.145625
 10	 -1	  1	  0	 0.047997	 0.004003	 5.846432	 0.487631	 5.866733	 0.083214
 11	 -2	  0	  0	 0.066573	 0.031908	 8.109042	 3.886591	 8.992338	 0.446944
 12	  2	  0	  0	 0.066573	-0.031908	 8.109042	-3.886591	 8.992338	-0.446944
