index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.183539	 0.000000	22.356409	 0.000000	22.356409	 0.000000
  1	  0	  1	  0	 0.000461	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  2	  0	 -1	  0	 0.000461	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  3	  1	  0	  0	 0.000461	-0.000000	 0.056208	-0.000001	 0.056208	-0.000011
  4	 -1	  0	  0	 0.000461	 0.000000	 0.056208	 0.000001	 0.056208	 0.000011
  5	  0	 -2	  0	 0.064477	-0.000000	 7.853772	-0.000001	 7.853772	-0.000000
  6	  1	 -1	  0	 0.049906	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
  7	 -1	 -1	  0	 0.049906	-0.000000	 6.078952	-0.000001	 6.078952	-0.000000
  8	  0	  2	  0	 0.064477	 0.000000	 7.853772	 0.000001	 7.853772	 0.000000
  9	  1	  1	  0	 0.049906	 0.000000	 6.078952	 0.000001	 6.078952	 0.000000
 10	 -1	  1	  0	 0.049906	 0.000000	 6.078952	 0.000000	 6.078952	 0.000000
 11	 -2	  0	  0	 0.064477	-0.000000	 7.853772	-0.000001	 7.853772	-0.000000
 12	  2	  0	  0	 0.064477	 0.000000	 7.853772	 0.000001	 7.853772	 0.000000
