index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.108359	 0.000000	13.198903	 0.000000	13.198903	 0.000000
  1	  0	  1	  0	-0.066704	 0.105947	-8.125021	12.905173	15.249900	 2.132692
  2	  0	 -1	  0	-0.066704	-0.105947	-8.125021	-12.905173	15.249900	-2.132692
  3	  1	  0	  0	-0.024411	 0.047353	-2.973386	 5.767979	 6.489269	 2.046766
  4	 -1	  0	  0	-0.024411	-0.047353	-2.973386	-5.767979	 6.489269	-2.046766
  5	  0	 -2	  0	 0.056463	-0.000645	 6.877614	-0.078508	 6.878062	-0.011415
  6	  1	 -1	  0	-0.021417	 0.045584	-2.608774	 5.552428	 6.134750	 2.010029
  7	 -1	 -1	  0	-0.039194	-0.010834	-4.774172	-1.319673	 4.953206	-2.871907
  8	  0	  2	  0	 0.056463	 0.000645	 6.877614	 0.078508	 6.878062	 0.011415
  9	  1	  1	  0	-0.039194	 0.010834	-4.774172	 1.319673	 4.953206	 2.871907
 10	 -1	  1	  0	-0.021417	-0.045584	-2.608774	-5.552428	 6.134750	-2.010029
 11	 -2	  0	  0	-0.163066	 0.018454	-19.862675	 2.247810	19.989460	 3.028905
 12	  2	  0	  0	-0.163066	-0.018454	-19.862675	-2.247810	19.989460	-3.028905
