index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	5	18.564	-12	0	-70.00000	 0.00000
1	5	18.5618	-11	-4	-64.16667	-23.33333
2	5	18.5595	-11	-3	-64.16667	-17.50000
3	5	18.558	-11	-2	-64.16667	-11.66667
4	5	18.557	-11	-1	-64.16667	-5.83333
5	5	18.5567	-11	0	-64.16667	 0.00000
6	5	18.557	-11	1	-64.16667	 5.83333
7	5	18.558	-11	2	-64.16667	11.66667
8	5	18.5595	-11	3	-64.16667	17.50000
9	5	18.5618	-11	4	-64.16667	23.33333
10	5	18.5615	-10	-6	-58.33333	-35.00000
11	5	18.558	-10	-5	-58.33333	-29.16667
12	5	18.5551	-10	-4	-58.33333	-23.33333
13	5	18.5529	-10	-3	-58.33333	-17.50000
14	5	18.5513	-10	-2	-58.33333	-11.66667
15	5	18.5504	-10	-1	-58.33333	-5.83333
16	5	18.55	-10	0	-58.33333	 0.00000
17	5	18.5504	-10	1	-58.33333	 5.83333
18	5	18.5513	-10	2	-58.33333	11.66667
19	5	18.5529	-10	3	-58.33333	17.50000
20	5	18.5551	-10	4	-58.33333	23.33333
21	5	18.558	-10	5	-58.33333	29.16667
22	5	18.5615	-10	6	-58.33333	35.00000
23	5	18.5596	-9	-7	-52.50000	-40.83333
24	5	18.5554	-9	-6	-52.50000	-35.00000
25	5	18.552	-9	-5	-52.50000	-29.16667
26	5	18.5491	-9	-4	-52.50000	-23.33333
27	5	18.5469	-9	-3	-52.50000	-17.50000
28	5	18.5453	-9	-2	-52.50000	-11.66667
29	5	18.5444	-9	-1	-52.50000	-5.83333
30	5	18.544	-9	0	-52.50000	 0.00000
31	5	18.5444	-9	1	-52.50000	 5.83333
32	5	18.5453	-9	2	-52.50000	11.66667
33	5	18.5469	-9	3	-52.50000	17.50000
34	5	18.5491	-9	4	-52.50000	23.33333
35	5	18.552	-9	5	-52.50000	29.16667
36	5	18.5554	-9	6	-52.50000	35.00000
37	5	18.5596	-9	7	-52.50000	40.83333
38	5	18.5589	-8	-8	-46.66667	-46.66667
