index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	-0.009514	 0.000000	-1.196874	 0.000000	 1.196874	 3.141593
  1	  0	  0	  1	-0.028058	 0.011613	-3.529556	 1.460913	 3.819951	 2.749154
  2	  0	  0	 -1	-0.028058	-0.011613	-3.529556	-1.460913	 3.819951	-2.749154
  3	  0	  1	  0	-0.003133	 0.016823	-0.394072	 2.116288	 2.152665	 1.754897
  4	  0	  1	  1	 0.092712	-0.000000	11.662723	-0.000000	11.662723	-0.000000
  5	  0	  1	 -1	-0.026345	-0.025436	-3.314097	-3.199683	 4.606648	-2.373758
  6	  0	 -1	  0	-0.003133	-0.016823	-0.394072	-2.116288	 2.152665	-1.754897
  7	  0	 -1	  1	-0.026345	 0.025436	-3.314097	 3.199683	 4.606648	 2.373758
  8	  0	 -1	 -1	 0.092712	 0.000000	11.662723	 0.000000	11.662723	 0.000000
  9	  1	  0	  0	 0.010812	-0.032038	 1.360153	-4.030220	 4.253550	-1.245311
 10	  1	  0	  1	 0.085382	 0.000000	10.740569	 0.000000	10.740569	 0.000000
 11	  1	  0	 -1	-0.001435	 0.040763	-0.180475	 5.127741	 5.130916	 1.605978
 12	  1	 -1	  0	 0.026453	-0.021248	 3.327647	-2.672925	 4.268227	-0.676718
 13	  1	 -1	  1	 0.003384	-0.012963	 0.425635	-1.630725	 1.685357	-1.315483
 14	  1	 -1	 -1	 0.026160	 0.019085	 3.290762	 2.400790	 4.073439	 0.630287
 15	 -1	  0	  0	 0.010812	 0.032038	 1.360153	 4.030220	 4.253550	 1.245311
 16	 -1	  0	  1	-0.001435	-0.040763	-0.180475	-5.127741	 5.130916	-1.605978
 17	 -1	  1	  0	 0.026453	 0.021248	 3.327647	 2.672925	 4.268227	 0.676718
 18	 -1	  1	  1	 0.026160	-0.019085	 3.290762	-2.400790	 4.073439	-0.630287
 19	  0	  0	 -2	 0.000846	-0.023972	 0.106409	-3.015501	 3.017378	-1.535523
 20	  0	  1	 -2	 0.032019	 0.015906	 4.027816	 2.000879	 4.497424	 0.461056
 21	  0	 -1	 -2	 0.012349	-0.044264	 1.553409	-5.568140	 5.780767	-1.298732
 22	  1	  0	 -2	-0.040569	 0.030429	-5.103331	 3.827757	 6.379319	 2.498059
 23	  1	 -1	 -2	 0.033528	 0.017145	 4.217599	 2.156801	 4.737081	 0.472711
 24	 -1	  0	 -1	 0.085382	 0.000000	10.740569	 0.000000	10.740569	 0.000000
 25	 -1	  1	 -1	 0.003384	 0.012963	 0.425635	 1.630725	 1.685357	 1.315483
 26	  0	  0	  2	 0.000846	 0.023972	 0.106409	 3.015501	 3.017378	 1.535523
 27	  0	  1	  2	 0.012349	 0.044264	 1.553409	 5.568140	 5.780767	 1.298732
 28	  0	 -1	  2	 0.032019	-0.015906	 4.027816	-2.000879	 4.497424	-0.461056
 29	  1	  0	  2	-0.021782	-0.000819	-2.740031	-0.103030	 2.741968	-3.104009
 30	  1	 -1	  2	 0.018318	-0.005080	 2.304310	-0.639021	 2.391274	-0.270518
 31	 -1	  0	  2	-0.040569	-0.030429	-5.103331	-3.827757	 6.379319	-2.498059
 32	 -1	  1	  2	 0.033528	-0.017145	 4.217599	-2.156801	 4.737081	-0.472711
 33	  0	 -2	  0	 0.020267	 0.013015	 2.549448	 1.637219	 3.029880	 0.570862
 34	  0	 -2	  1	 0.028587	 0.010996	 3.596142	 1.383184	 3.852978	 0.367187
