0	2	1	6	8	7	3	5	15	24	16	17	25	18	9	11	12	14	13	
1	0	26	7	6	28	4	3	16	15	31	18	17	32	10	9	13	12	30	
2	19	0	8	21	6	5	20	24	65	15	25	66	17	11	22	14	23	12	
3	5	4	0	2	1	47	49	17	25	18	53	57	54	50	52	9	11	10	
4	3	27	1	0	26	48	47	18	17	32	54	53	60	51	50	10	9	29	
5	20	3	2	19	0	49	55	25	66	17	57	74	53	52	56	11	22	9	
6	8	7	33	35	34	0	2	39	43	40	15	24	16	12	14	36	38	37	
7	6	28	34	33	44	1	0	40	39	46	16	15	31	13	12	37	36	45	
9	11	10	12	14	13	50	52	0	2	1	3	5	4	77	79	80	82	81	
10	9	29	13	12	30	51	50	1	0	26	4	3	27	78	77	81	80	91	
11	22	9	14	23	12	52	56	2	19	0	5	20	3	79	83	82	84	80	
12	14	13	36	38	37	9	11	6	8	7	0	2	1	80	82	85	87	86	
13	12	30	37	36	45	10	9	7	6	28	1	0	26	81	80	86	85	92	
14	23	12	38	42	36	11	22	8	21	6	2	19	0	82	84	87	88	85	
15	24	16	39	43	40	17	25	61	68	62	63	69	64	0	2	6	8	7	
16	15	31	40	39	46	18	17	62	61	70	64	63	71	1	0	7	6	28	
17	25	18	15	24	16	53	57	63	69	64	72	75	73	3	5	0	2	1	
18	17	32	16	15	31	54	53	64	63	71	73	72	76	4	3	1	0	26	
25	66	17	24	65	15	57	74	69	89	63	75	90	72	5	20	2	19	0	
