index	  h	  k	  l	 Ug_real  	 Ug_imag  	Vg_real(V)	Vg_imag(V)	 |Vg|(V)   	phi(rad)
  0	  0	  0	  0	 0.128513	 0.000000	16.166277	 0.000000	16.166277	 0.000000
  1	  0	  0	  1	 0.000000	-0.000000	 0.000000	-0.000000	 0.000000	-1.256693
  2	  0	  0	 -1	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 1.256693
  3	  0	  1	  0	-0.041230	 0.000000	-5.186465	 0.000000	 5.186465	 3.141593
  4	  0	  1	  1	 0.012793	-0.032603	 1.609291	-4.101246	 4.405682	-1.196867
  5	  0	  1	 -1	-0.012793	-0.032603	-1.609291	-4.101246	 4.405682	-1.944726
  6	  0	 -1	  0	-0.041230	-0.000000	-5.186465	-0.000000	 5.186465	-3.141593
  7	  0	 -1	  1	-0.012793	 0.032603	-1.609291	 4.101246	 4.405682	 1.944726
  8	  0	 -1	 -1	 0.012793	 0.032603	 1.609291	 4.101246	 4.405682	 1.196867
  9	  1	  0	  0	-0.041227	 0.000000	-5.186099	 0.000000	 5.186099	 3.141593
 10	  1	  0	  1	-0.012792	 0.032601	-1.609200	 4.100973	 4.405395	 1.944729
 11	  1	  0	 -1	 0.012792	 0.032601	 1.609201	 4.100974	 4.405397	 1.196863
 12	  1	 -1	  0	-0.041227	 0.000000	-5.186155	 0.000000	 5.186155	 3.141593
 13	  1	 -1	  1	 0.012792	-0.032600	 1.609195	-4.100960	 4.405380	-1.196863
 14	  1	 -1	 -1	-0.012792	-0.032600	-1.609195	-4.100960	 4.405381	-1.944729
 15	 -1	  0	  0	-0.041227	-0.000000	-5.186099	-0.000000	 5.186099	-3.141593
 16	 -1	  0	  1	 0.012792	-0.032601	 1.609201	-4.100974	 4.405397	-1.196863
 17	 -1	  1	  0	-0.041227	 0.000000	-5.186155	 0.000000	 5.186155	 3.141593
 18	 -1	  1	  1	-0.012792	 0.032600	-1.609195	 4.100960	 4.405381	 1.944729
 19	  0	  0	 -2	 0.057745	 0.022483	 7.264066	 2.828281	 7.795243	 0.371294
 20	  0	  1	 -2	-0.022686	-0.008878	-2.853790	-1.116859	 3.064554	-2.768557
 21	  0	 -1	 -2	-0.022686	-0.008878	-2.853791	-1.116859	 3.064555	-2.768557
 22	  1	  0	 -2	-0.022685	-0.008878	-2.853664	-1.116806	 3.064417	-2.768558
 23	  1	 -1	 -2	-0.022685	-0.008878	-2.853695	-1.116818	 3.064451	-2.768558
 24	 -1	  0	 -1	-0.012792	-0.032601	-1.609200	-4.100973	 4.405395	-1.944729
 25	 -1	  1	 -1	 0.012792	 0.032600	 1.609195	 4.100960	 4.405380	 1.196863
 26	  0	  0	  2	 0.057745	-0.022483	 7.264066	-2.828281	 7.795243	-0.371294
 27	  0	  1	  2	-0.022686	 0.008878	-2.853791	 1.116859	 3.064555	 2.768557
 28	  0	 -1	  2	-0.022686	 0.008878	-2.853790	 1.116859	 3.064554	 2.768557
 29	  1	  0	  2	-0.022685	 0.008878	-2.853665	 1.116806	 3.064419	 2.768558
 30	  1	 -1	  2	-0.022685	 0.008878	-2.853695	 1.116818	 3.064451	 2.768558
 31	 -1	  0	  2	-0.022685	 0.008878	-2.853664	 1.116806	 3.064417	 2.768558
 32	 -1	  1	  2	-0.022685	 0.008878	-2.853695	 1.116818	 3.064451	 2.768558
 33	  0	 -2	  0	-0.022702	-0.000000	-2.855794	-0.000000	 2.855794	-3.141593
 34	  0	 -2	  1	 0.006981	-0.019815	 0.878156	-2.492601	 2.642767	-1.232069
 35	  0	 -2	 -1	-0.006981	-0.019815	-0.878155	-2.492600	 2.642766	-1.909523
 36	  1	 -2	  0	 0.052911	-0.000000	 6.655921	-0.000000	 6.655921	-0.000000
 37	  1	 -2	  1	 0.000000	-0.000000	 0.000008	-0.000020	 0.000022	-1.211708
 38	  1	 -2	 -1	-0.000000	-0.000000	-0.000008	-0.000021	 0.000022	-1.929841
 39	 -1	 -1	  0	 0.052911	-0.000000	 6.655921	-0.000001	 6.655921	-0.000000
 40	 -1	 -1	  1	 0.000000	-0.000000	 0.000000	-0.000000	 0.000000	-1.570796
 41	  0	 -2	 -2	-0.014798	-0.005168	-1.861517	-0.650120	 1.971776	-2.805593
 42	  1	 -2	 -2	 0.033237	 0.012138	 4.181075	 1.526845	 4.451140	 0.350134
 43	 -1	 -1	 -1	 0.000000	-0.000000	 0.000000	-0.000001	 0.000001	-1.205165
 44	  0	 -2	  2	-0.014798	 0.005168	-1.861517	 0.650120	 1.971776	 2.805593
 45	  1	 -2	  2	 0.033237	-0.012138	 4.181075	-1.526844	 4.451140	-0.350134
 46	 -1	 -1	  2	 0.033237	-0.012138	 4.181076	-1.526845	 4.451140	-0.350134
 47	  0	  2	  0	-0.022702	 0.000000	-2.855794	 0.000000	 2.855794	 3.141593
 48	  0	  2	  1	-0.006981	 0.019815	-0.878155	 2.492600	 2.642766	 1.909523
 49	  0	  2	 -1	 0.006981	 0.019815	 0.878156	 2.492601	 2.642767	 1.232069
 50	  1	  1	  0	 0.052911	 0.000000	 6.655921	 0.000001	 6.655921	 0.000000
 51	  1	  1	  1	 0.000000	 0.000000	 0.000000	 0.000001	 0.000001	 1.205165
 52	  1	  1	 -1	 0.000000	 0.000000	 0.000000	 0.000000	 0.000000	 1.570796
 53	 -1	  2	  0	 0.052911	 0.000000	 6.655921	 0.000000	 6.655921	 0.000000
 54	 -1	  2	  1	-0.000000	 0.000000	-0.000008	 0.000021	 0.000022	 1.929841
 55	  0	  2	 -2	-0.014798	-0.005168	-1.861517	-0.650120	 1.971776	-2.805593
 56	  1	  1	 -2	 0.033237	 0.012138	 4.181076	 1.526845	 4.451140	 0.350134
 57	 -1	  2	 -1	 0.000000	 0.000000	 0.000008	 0.000020	 0.000022	 1.211708
 58	  0	  2	  2	-0.014798	 0.005168	-1.861517	 0.650120	 1.971776	 2.805593
 59	  1	  1	  2	 0.033237	-0.012138	 4.181076	-1.526843	 4.451140	-0.350133
 60	 -1	  2	  2	 0.033237	-0.012138	 4.181075	-1.526845	 4.451140	-0.350134
 61	 -2	  0	  0	-0.022699	-0.000000	-2.855437	-0.000000	 2.855437	-3.141593
 62	 -2	  0	  1	-0.006980	 0.019813	-0.878026	 2.492368	 2.642504	 1.909506
 63	 -2	  1	  0	 0.052905	-0.000000	 6.655177	-0.000000	 6.655177	-0.000000
 64	 -2	  1	  1	-0.000000	 0.000000	-0.000008	 0.000020	 0.000022	 1.926032
 65	 -1	  0	 -2	-0.022685	-0.008878	-2.853665	-1.116806	 3.064419	-2.768558
