index	beams	T	ik_x	ik_y	thetaX_mrad	thetaY_mrad
0	19	58.1682	-8	0	-30.00000	 0.00000
1	19	58.1658	-7	-3	-26.25000	-11.25000
2	19	58.1637	-7	-2	-26.25000	-7.50000
3	19	58.1625	-7	-1	-26.25000	-3.75000
4	19	58.1621	-7	0	-26.25000	 0.00000
5	19	58.1625	-7	1	-26.25000	 3.75000
6	19	58.1637	-7	2	-26.25000	 7.50000
7	19	58.1658	-7	3	-26.25000	11.25000
8	19	58.167	-6	-5	-22.50000	-18.75000
9	19	58.1633	-6	-4	-22.50000	-15.00000
10	20	58.1604	-6	-3	-22.50000	-11.25000
11	19	58.1584	-6	-2	-22.50000	-7.50000
12	19	58.1572	-6	-1	-22.50000	-3.75000
13	19	58.1568	-6	0	-22.50000	 0.00000
14	19	58.1572	-6	1	-22.50000	 3.75000
15	19	58.1584	-6	2	-22.50000	 7.50000
16	20	58.1604	-6	3	-22.50000	11.25000
17	19	58.1633	-6	4	-22.50000	15.00000
18	19	58.167	-6	5	-22.50000	18.75000
19	19	58.167	-5	-6	-18.75000	-22.50000
20	19	58.1625	-5	-5	-18.75000	-18.75000
21	19	58.1588	-5	-4	-18.75000	-15.00000
22	20	58.1559	-5	-3	-18.75000	-11.25000
23	20	58.1539	-5	-2	-18.75000	-7.50000
24	19	58.1527	-5	-1	-18.75000	-3.75000
25	19	58.1523	-5	0	-18.75000	 0.00000
26	19	58.1527	-5	1	-18.75000	 3.75000
27	20	58.1539	-5	2	-18.75000	 7.50000
28	20	58.1559	-5	3	-18.75000	11.25000
29	19	58.1588	-5	4	-18.75000	15.00000
30	19	58.1625	-5	5	-18.75000	18.75000
31	19	58.167	-5	6	-18.75000	22.50000
32	19	58.1633	-4	-6	-15.00000	-22.50000
33	19	58.1588	-4	-5	-15.00000	-18.75000
34	19	58.1551	-4	-4	-15.00000	-15.00000
35	20	58.1523	-4	-3	-15.00000	-11.25000
36	20	58.1502	-4	-2	-15.00000	-7.50000
37	20	58.149	-4	-1	-15.00000	-3.75000
38	21	58.1486	-4	0	-15.00000	 0.00000
39	20	58.149	-4	1	-15.00000	 3.75000
40	20	58.1502	-4	2	-15.00000	 7.50000
41	20	58.1523	-4	3	-15.00000	11.25000
42	19	58.1551	-4	4	-15.00000	15.00000
43	19	58.1588	-4	5	-15.00000	18.75000
44	19	58.1633	-4	6	-15.00000	22.50000
45	19	58.1658	-3	-7	-11.25000	-26.25000
46	19	58.1604	-3	-6	-11.25000	-22.50000
47	19	58.1559	-3	-5	-11.25000	-18.75000
48	19	58.1523	-3	-4	-11.25000	-15.00000
49	20	58.1494	-3	-3	-11.25000	-11.25000
50	21	58.1474	-3	-2	-11.25000	-7.50000
